sample_id,smiles
48,O=C(N(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=O)C2=C(C3=CC=C(C4=CC=C(C)S4)S3)C=C5C6=C(C(N(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C5=O)=O)C(C)=CC1=C62
49,CC1=CC=C(C2=C3C=C(C)C=C2)C(C3(CCCCCCCC)CCCCCCCC)=C1
50,O=C(N(CC(CCCCCCCCCC)CCCCCCCC)C1=O)C2=C(C3=CC=C(C4=CC=C(C)S4)S3)C=C5C6=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C5=O)=O)C(C)=CC1=C62
51,O=C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C1=O)C2=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)[Se]5)C6=NSN=C64)[Se]3)C=C7C8=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=O)=O)C(C)=CC1=C82
52,FC1=C(C)C=CC(/C2=C3C(N(CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C4=C\3C=CC(C5=C(F)C(F)=C(C6=C(F)C(F)=C(C)S6)S5)=C4F)=O)=C1N(CCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C2=O
53,O=C(C1=C2C(C3=CC=C24)=C(C5=C6C3=C(C7=CC=C(C8=CC=C(C)S8)S7)C=C9C6=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)=O)C=C5)C(C)=C1)N(CC(CCCCCCCCCCCC)CCCCCCCCCCCC)C4=O
54,O=C(C1=C2C(C3=CC=C24)=C(C5=C6C3=C(C#CC7=CC8=C(C(SC(C)=C9)=C9S8)S7)C=C%10C6=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%10=O)=O)C=C5)C(C#CC)=C1)N(CC(CCCCCCCCCCCC)CCCCCCCCCCCC)C4=O
55,O=C1C2=CC=C3C4=C2C(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=CC(C#CC5=CC(SC6=C7SC(C#CC)=C6)=C7S5)=C4C8=CC=C9C%10=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)=O)C=C(C)C3=C8%10
56,O=C1/C(C2=CC=C(C)C=C2N1CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=C(C(O3)=O)\C4=C3C=C(/C(C(O5)=O)=C6C7=CC=C(C8=CC(SC(C)=C9)=C9S8)C=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/6=O)C5=C4
57,C(C4=CC=C(C5=CC=C(C)[Se]5)[Se]4)C=C6C3=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=O)=O)C(C)=C2
